Id,Year,Floors,Hist,Type,Mason,Struct,Apart,DayP,NightP,Employ,Visit,VULNERAB
280,1910,2,0,3,0,0,0,0,0,0,0,B
282,1920,1,0,3,110,0,0,0,10,0,0,B
283,1900,6,1,1,110,110,0,0,0,0,0,B
284,1890,1,1,3,100,0,0,0,0,0,0,B
285,1915,4,1,5,100,1,0,0,2,0,0,B
286,1900,2,1,1,0,0,0,0,1,0,0,A
287,1910,5,0,1,0,0,0,0,100,0,0,B
288,1883,2,1,6,0,0,0,0,1,0,0,D
289,1890,2,0,3,110,0,0,0,1,4,0,B
290,1899,3,0,9,101,1,0,0,0,0,0,B
291,1898,1,0,3,0,0,0,0,0,0,0,B
293,1890,2,1,1,110,0,0,0,0,1,0,C
294,1890,1,0,1,0,0,12,35,35,0,0,C
295,1900,3,1,3,0,0,0,0,10,0,0,B
296,2008,0,1,1,0,0,0,0,0,0,0,G
297,1920,1,0,3,110,0,0,0,0,0,0,B
298,1890,1,0,3,100,0,0,0,0,0,0,B
299,1910,1,0,5,100,10,0,0,0,2,0,B
300,1900,4,1,1,0,0,0,0,0,6,0,B
301,1910,3,0,1,0,10,0,0,0,8,0,B
302,1890,5,0,1,110,10,0,0,0,0,0,B
305,1942,5,1,6,0,0,0,0,2,0,0,C
306,1900,4,1,1,0,0,0,0,50,0,0,B
307,1920,2,0,1,0,0,0,0,1,0,0,B
308,1900,2,1,1,0,0,0,0,1,0,0,B
309,1900,3,1,1,100,0,0,0,1,3,100,B
310,1910,5,1,1,100,10,10,15,1,0,0,A
312,1910,2,1,3,110,110,0,0,1,0,0,A
313,1910,2,0,5,0,0,0,0,1,0,0,B
314,1889,1,0,4,0,0,0,0,0,0,0,A
315,1847,0,1,6,0,0,0,0,0,0,0,D
316,1900,1,1,6,0,0,0,0,0,0,0,D
317,1884,2,0,6,0,0,0,0,5,0,0,E
318,1900,2,0,3,110,10,0,0,0,0,0,B
319,1884,2,0,3,0,10,0,0,0,0,0,B
320,1890,3,1,4,0,0,6,15,15,0,0,A
321,1900,5,0,1,110,11,20,55,55,0,0,B
322,1885,5,1,1,0,0,9,20,20,0,0,B
323,1900,2,1,2,111,11,0,0,0,0,0,B
324,1900,4,1,5,1,1,10,22,22,0,0,B
325,1885,2,1,2,100,0,2,6,6,0,0,A
326,1885,2,1,2,0,0,0,0,0,0,0,A
